Rpt Dist No,total_crime,shannon_index,normalized_shannon
0936,2,0.6931471805599453,0.33333333333333337
0937,405,1.5596494148805895,0.7500328254578668
0938,475,1.5107414680722786,0.7265130746843963
0939,699,1.6649688531424722,0.8006807692210766
0941,1644,1.4232960367475356,0.6844607113108618
0942,3,1.0986122886681096,0.5283208335737187
0943,985,1.5933116869164357,0.7662209564349235
0944,1,-0,-0
0945,1,-0,-0
0946,856,1.5853295224962223,0.7623823467600561
0948,424,1.5486551498837249,0.7447457015948015
0952,1511,1.5928921224743708,0.7660191885882901
0955,217,1.5337919191427685,0.7375979985009461
0957,75,1.4440766176224888,0.6944540583025576
0958,2,0.6931471805599453,0.33333333333333337
0961,89,1.5343839433882263,0.7378827019819487
0963,852,1.5609760099853587,0.7506707828508394
0964,1826,1.3937793135696042,0.6702661679268306
0966,563,1.4667460514727844,0.7053557515677514
0969,842,1.4467180164237492,0.6957243026197537
0971,885,1.5033358820222453,0.7229517405946431
0974,1046,1.4892276666955897,0.7161671231654565
0976,160,1.5059848087008734,0.7242256050556215
0979,325,1.4367229816966365,0.6909177069416476
0981,659,1.5095422705564396,0.7259363825813472
0983,1,-0,-0
0984,425,1.3706078955650607,0.6591230713116571
0985,1449,1.438804510017457,0.6919187104702867
0989,1191,1.4896960090833589,0.7163923482455474
0991,434,1.3918270883107722,0.6693273460269589
0994,307,1.5166346511818425,0.7293470967001358
0998,526,1.4202822068049832,0.6830113654734609
1001,1067,1.725408605899541,0.8297461464128026
1003,930,1.7015241959349217,0.8182601731426309
1004,855,1.6892772577077046,0.8123706407938044
1005,612,1.6214549684208823,0.779755013988526
1006,427,1.6595125602109597,0.7980568469697663
1007,340,1.5343588494447278,0.7378706343460015
1008,1724,1.5988412856918963,0.7688801313454111
1009,105,1.555590162723044,0.7480807378053971
1011,1152,1.6830646851880091,0.8093830249386951
1012,537,1.6570176672369883,0.7968570570627339
1013,1,-0,-0
1014,1,-0,-0
1015,1327,1.6240751800676112,0.781015069438131
1016,1,-0,-0
1017,753,1.6104393936586816,0.7744576422945364
1018,1116,1.545465462173119,0.743211786047443
1019,220,1.5737353901762547,0.7568067476929136
1021,740,1.6864368326750974,0.8110046850909512
1022,1,-0,-0
1023,1146,1.7026798019096545,0.8188159021456205
1024,794,1.699682929831908,0.8173747113173726
1025,1380,1.6504265783322842,0.7936874133037757
1027,613,1.6433834781169003,0.7903003980527029
1028,883,1.5999985914686432,0.7694366777803794
1029,1077,1.6405489717434278,0.7889372886232439
1031,495,1.568170798170072,0.7541307445956169
1032,3,1.0986122886681096,0.5283208335737187
1033,964,1.619914577646644,0.7790142426115176
1034,616,1.6530310648882787,0.7949399065832408
1035,988,1.70392311907279,0.8194138113141229
1036,1,-0,-0
1037,492,1.7822996743426622,0.8571049671840578
1039,1023,1.6569201553783577,0.7968101637711091
1041,605,1.587928155543274,0.7636320250967468
1042,1,-0,-0
1043,977,1.639882343130705,0.7886167080253472
1044,638,1.5925228799518154,0.7658416204695647
1045,804,1.61142675108149,0.7749324608470266
1046,1,-0,-0
1047,843,1.4971307611865907,0.7199677082420712
1048,1,-0,-0
1049,549,1.5708626371521306,0.7554252455123793
1053,1,-0,-0
1061,686,1.5339061528422244,0.7376529332981819
1063,1650,1.54694988038716,0.743925640312777
1065,1418,1.5649717202623912,0.7525923133180074
1067,984,1.5800864762888838,0.7598609745058965
1068,67,1.5449513924256946,0.7429645707556829
1075,683,1.5046971991575901,0.7236063957547229
1077,369,1.4636894027171672,0.7038858142339287
1078,583,1.6472165021469825,0.7921436929726388
1079,705,1.5430082771216498,0.7420301298180092
1083,319,1.4408479083256767,0.6929013773388966
1087,1,-0,-0
1088,520,1.4030569381774538,0.6747277622644886
1089,312,1.4478980707760736,0.696291788807113
1091,381,1.394995720015815,0.6708511357760484
1094,369,1.4115661041822811,0.6788198061302436
1097,604,1.466842982871068,0.7054023657169549
1098,35,1.1744786399760025,0.5648048365077978
1099,337,1.3443154189366722,0.6464790627635021
1101,1037,1.2728320762301724,0.6121028414205576
1102,768,1.523005366066935,0.7324107629573492
1105,268,1.5036250303870673,0.723090791565313
1107,503,1.7264295161798056,0.8302371004789794
1109,619,1.4899738304483805,0.7165259520807373
1112,422,1.5034616824348623,0.7230122378051179
1113,683,1.4166103776022188,0.681245588879521
1115,583,1.536299176351657,0.7388037343481115
1116,253,1.8299189976452694,0.8800050210437778
1117,557,1.6776569874387852,0.8067824720302179
1118,437,1.6324731782554183,0.7850536528844456
1119,377,1.6224809199673975,0.7802483923913093
1122,45,1.4080432211225216,0.6771256574902614
1123,653,1.36067081463429,0.6543443455184121
1124,956,1.777935364063276,0.8550061775850675
1125,397,1.5904291892451734,0.7648347680696889
1126,443,1.671675691802296,0.8039060768459332
1127,453,1.734198673691014,0.8339732754834146
1128,710,1.4129039259504077,0.6794631624070668
1129,645,1.5782148516165981,0.7589609132948592
1132,1092,1.4515089008775794,0.6980282310340913
1133,848,1.5453702247192709,0.7431659865133184
1134,730,1.6293109138226984,0.7835329251460909
1135,790,1.6109593618481226,0.774707694137312
1136,1030,1.5654847640450051,0.7528390352249861
